NPI,Gender,State,Region,Credentials,Specialty,Specialty,Opioids,OO.Av,N.Opioids,NO.Av,Opioid.Prescriber,,,,,
1235170481,M,FL,S,DO,Emergency Medicine,DO,266,1,251,1,1,,,,,
1235171737,M,CA,W,M.D.,Psychiatry,MD,0,0,77,1,0,,,,,
1235173048,M,SC,S,MD,Obstetrics/Gynecology,MD,61,1,94,1,1,,,,,
1235175589,M,WI,MW,M.D.,Allergy/Immunology,MD,0,0,539,1,0,,,,,
1235176215,F,NM,W,CNP,Nurse Practitioner,NP,0,0,1149,1,0,,,,,
1235176801,M,MT,W,MD,Emergency Medicine,MD,25,1,13,1,1,,,,,
1235177932,F,MN,MW,MD,Hospice and Palliative Care,MD,16,1,14,1,1,,,,,
1235178112,M,MI,MW,M.D.,Pulmonary Disease,MD,0,0,62,1,0,,,,,
1235179144,M,CA,W,M.D.,Orthopedic Surgery,MD,107,1,0,0,1,,,,,
1235179904,F,HI,W,M.D.,Infectious Disease,MD,0,0,226,1,0,,,,,
1235181082,M,MA,NE,M.D.,Emergency Medicine,MD,12,1,22,1,1,,,,,
1235182965,F,IA,MW,P.A.,Physician Assistant,PA,0,0,12,1,0,,,,,
1235183344,F,NH,NE,M.D.,Internal Medicine,MD,0,0,548,1,0,,,,,
1235184763,F,NY,NE,MD,Obstetrics/Gynecology,MD,0,0,92,1,0,,,,,
1235185521,M,NY,NE,DPM,Podiatry,MD,0,0,31,1,0,,,,,
1235185802,F,MA,NE,MD,Psychiatry,MD,0,0,188,1,0,,,,,
1235186776,F,MD,S,P.A.-C,Physician Assistant,PA,35,1,0,0,1,,,,,
1235188251,M,MA,NE,MD,Gastroenterology,MD,0,0,36,1,0,,,,,
1235188863,M,KY,S,MD,Plastic and Reconstructive Surgery,MD,24,1,45,1,1,,,,,
1235189457,M,FL,S,M.D.,Psychiatry,MD,0,0,101,1,0,,,,,
1235191990,F,NY,NE,MD,Psychiatry & Neurology,MD,0,0,176,1,0,,,,,
1235192329,F,WI,MW,PA-C,Physician Assistant,PA,0,0,14,1,0,,,,,
1235193624,F,NY,NE,MD,Internal Medicine,MD,11,1,3071,1,1,,,,,
1235193707,F,RI,NE,D.O.,Family Practice,DO,213,1,3141,1,1,,,,,
1235195041,M,SD,MW,MD,Family Practice,MD,74,1,1280,1,1,,,,,
1235195496,M,AZ,W,MD,Internal Medicine,MD,27,1,900,1,1,,,,,
1235195926,F,NY,NE,MD,Ophthalmology,MD,0,0,92,1,0,,,,,
1235196148,M,TX,S,MD,Diagnostic Radiology,MD,23,1,223,1,1,,,,,
1235199456,M,CO,W,MD,Allergy/Immunology,MD,0,0,1790,1,0,,,,,
1235199639,M,AZ,W,MD,Infectious Disease,MD,0,0,127,1,0,,,,,
1235201740,F,VT,NE,P.A.,Physician Assistant,PA,17,1,260,1,1,,,,,
1235205477,M,CA,W,M.D.,Gastroenterology,MD,0,0,104,1,0,,,,,
1235206236,M,CA,W,MD,Emergency Medicine,MD,23,1,12,1,1,,,,,
1235206855,M,NJ,NE,DMD,Dentist,DDS,0,0,21,1,0,,,,,
1235208257,M,PA,NE,D.D.S.,Dentist,DDS,0,0,58,1,1,,,,,
1235208299,F,CA,W,M.D.,Family Practice,MD,238,1,4118,1,1,,,,,
1235209008,F,TX,S,"FNP, GNP, RN",Registered Nurse,NP,0,0,1635,1,0,,,,,
1235209107,F,NC,S,MD,Emergency Medicine,MD,116,1,150,1,1,,,,,
1235209354,F,MI,MW,DO,Internal Medicine,DO,133,1,1139,1,1,,,,,
1235209412,F,NY,NE,RNP,Nurse Practitioner,NP,13,1,11,1,1,,,,,
1235210121,M,TX,S,M.D.,Family Practice,MD,24,1,82,1,1,,,,,
1235211095,M,LA,S,M.D.,Orthopedic Surgery,MD,3154,1,2618,1,1,,,,,
1235211194,F,CA,W,M.D.,Dermatology,MD,0,0,89,1,0,,,,,
1235212200,F,VA,S,M.D.,Psychiatry,MD,0,0,108,1,0,,,,,
1235216763,M,IN,MW,MD,Family Practice,MD,2232,1,16262,1,1,,,,,
1235217191,F,FL,S,PA,Physician Assistant,PA,0,0,397,1,0,,,,,
1235217712,M,CA,W,MD,Medical Oncology,MD,56,1,17,1,1,,,,,
1235217944,M,NV,W,MD,Internal Medicine,MD,103,1,2647,1,1,,,,,
1235218280,F,MN,MW,O.D.,Optometry,MD,0,0,106,1,0,,,,,
1235219957,M,NY,NE,MD,Internal Medicine,MD,36,1,567,1,1,,,,,
1235220294,M,AZ,W,N.M.D.,General Practice,MD,16,1,0,0,1,,,,,
1235220468,M,TX,S,MD,Anesthesiology,MD,1268,1,542,1,1,,,,,
1235221151,F,WV,S,M.D.,Vascular Surgery,MD,0,0,11,1,0,,,,,
1235222803,M,NJ,NE,,Critical Care (Intensivists),MD,0,0,927,1,0,,,,,
1235226887,M,TX,S,MD,Internal Medicine,MD,19,1,253,1,1,,,,,
1235227695,M,NJ,NE,MD,Physical Medicine and Rehabilitation,MD,0,0,23,1,1,,,,,
1235232216,M,FL,S,MD,Cardiology,MD,0,0,4817,1,0,,,,,
1235233552,F,TX,S,PA-C,Physician Assistant,PA,78,1,801,1,1,,,,,
1235234006,F,NH,NE,NP,Nurse Practitioner,NP,287,1,2865,1,1,,,,,
1235234147,F,CT,NE,DDS,Dentist,DDS,17,1,21,1,1,,,,,
1235237025,M,MA,NE,M.D.,Hand Surgery,MD,25,1,0,0,1,,,,,
1235237090,M,OH,MW,M.D.,Gastroenterology,MD,0,0,456,1,0,,,,,
1235237504,M,TX,S,MD,Ophthalmology,MD,0,0,841,1,0,,,,,
1235241837,M,IL,MW,M.D.,Internal Medicine,MD,105,1,1173,1,1,,,,,
1235242215,F,MA,NE,M.D.,Family Practice,MD,0,0,37,1,0,,,,,
1235242447,F,WA,W,MD,Family Practice,MD,93,1,638,1,1,,,,,
1235242843,F,CO,W,PA,Physician Assistant,PA,0,0,2022,1,0,,,,,
1235242967,F,NY,NE,FNP,Nurse Practitioner,NP,43,1,0,0,1,,,,,
1235243585,F,WA,W,,Family Practice,MD,48,1,1217,1,1,,,,,
1235243650,M,WY,W,M.D.,General Practice,MD,300,1,1375,1,1,,,,,
1235244385,M,MO,MW,D.D.S.,Dentist,DDS,91,1,42,1,1,,,,,
1235245127,F,MD,S,MD,Family Practice,MD,118,1,1954,1,1,,,,,
1235246018,M,OK,S,MD,Cardiology,MD,0,0,2205,1,1,,,,,
1235246075,M,CO,W,M.D.,Family Practice,MD,317,1,4040,1,1,,,,,
1235246935,M,NY,NE,MD,Internal Medicine,MD,0,0,213,1,0,,,,,
1235247040,F,CA,W,PA-C,Physician Assistant,PA,15,1,0,0,1,,,,,
1235247198,F,SC,S,MD,Cardiology,MD,25,1,6900,1,1,,,,,
1235247966,F,CA,W,M.D.,Allergy/Immunology,MD,0,0,165,1,0,,,,,
1235248469,F,IN,MW,DDS,Dentist,DDS,0,0,13,1,0,,,,,
1235255332,M,OH,MW,MD,Physical Medicine and Rehabilitation,MD,61,1,73,1,1,,,,,
1235256702,M,CT,NE,DDS,Dentist,DDS,0,0,43,1,0,,,,,
1235256827,M,DC,S,MD,Psychiatry & Neurology,MD,0,0,400,1,0,,,,,
1235257593,M,OK,S,M.D.,Family Practice,MD,14,1,12,1,1,,,,,
1235270554,M,CA,W,DDS MS,Dentist,DDS,0,0,22,1,0,,,,,
1235271438,M,GA,S,PA-C,Physician Assistant,PA,0,0,194,1,0,,,,,
1235272006,M,PA,NE,DDS,Dentist,DDS,0,0,31,1,0,,,,,
1235274325,F,NY,NE,D.D.S.,Dentist,DDS,0,0,14,1,0,,,,,
1235276056,M,FL,S,MD,Plastic and Reconstructive Surgery,MD,17,1,0,0,1,,,,,
1235276510,F,CO,W,MD,Internal Medicine,MD,0,0,526,1,1,,,,,
1235283599,M,GA,S,DMD,Dentist,DDS,19,1,161,1,1,,,,,
1235284084,F,NC,S,M.D.,Internal Medicine,MD,85,1,1017,1,1,,,,,
1235284654,F,OR,W,"FNP, PMHNP",Nurse Practitioner,NP,0,0,138,1,0,,,,,
1235285651,F,NY,NE,DDS,Oral Surgery (dentists only),DDS,19,1,47,1,1,,,,,
1235288630,M,CA,W,MD,Family Practice,MD,414,1,4232,1,1,,,,,
1235291048,F,WI,MW,,Family Practice,MD,519,1,5181,1,1,,,,,
1235292715,F,NC,S,M.D.,Family Practice,MD,66,1,3329,1,1,,,,,
1235293325,M,PA,NE,MD,Gastroenterology,MD,0,0,129,1,0,,,,,
1235298373,F,NY,NE,,Physician Assistant,PA,0,0,349,1,0,,,,,
1235314063,F,TX,S,RNC WHNP,Nurse Practitioner,NP,0,0,72,1,0,,,,,
1235317744,M,CA,W,DDS,Dentist,DDS,29,1,192,1,1,,,,,
1235318965,M,OH,MW,D.D.S.,Dentist,DDS,0,0,13,1,0,,,,,
1235320722,M,CA,W,M.D.,Family Practice,MD,22,1,1548,1,1,,,,,
1235322546,M,CT,NE,MD,General Surgery,MD,15,1,0,0,1,,,,,
1235331463,M,IN,MW,DDS,Dentist,DDS,15,1,0,0,1,,,,,
1235334624,M,TX,S,MD,Family Practice,MD,229,1,4280,1,1,,,,,
1235335472,F,TX,S,D.O.,Gynecological/Oncology,DO,51,1,12,1,1,,,,,
1235336199,M,AL,S,M.D.,Psychiatry,MD,0,0,92,1,0,,,,,
1235336249,M,NE,MW,DDS,Dentist,DDS,0,0,73,1,1,,,,,
1235337353,F,IA,MW,D.D.S.,Dentist,DDS,0,0,27,1,0,,,,,
1235337973,M,CT,NE,D.M.D,Student in an Organized Health Care Education/Training Program,DDS,0,0,18,1,0,,,,,
1235338310,M,TX,S,DMD,Dentist,DDS,24,1,33,1,1,,,,,
1235338872,M,NJ,NE,D.O.,Otolaryngology,DO,0,0,21,1,0,,,,,
1235340589,F,TX,S,MD,Internal Medicine,MD,31,1,397,1,1,,,,,
1235349606,M,OH,MW,D.M.D.,Dentist,DDS,0,0,78,1,0,,,,,
1235351883,M,NY,NE,D.D.S.,Dentist,DDS,0,0,37,1,0,,,,,
1235354242,M,AR,S,MD,Cardiology,MD,0,0,4229,1,0,,,,,
1235355397,M,FL,S,M.D.,Orthopedic Surgery,MD,393,1,389,1,1,,,,,
1235356585,F,WA,W,PAC,Physician Assistant,PA,36,1,12,1,1,,,,,
1235357518,M,CA,W,DDS,Dentist,DDS,0,0,26,1,0,,,,,
1235358003,F,LA,S,APRN,Nurse Practitioner,NP,16,1,0,0,1,,,,,
1235360496,M,MD,S,MD,Internal Medicine,MD,0,0,14,1,1,,,,,
1235365990,F,CA,W,MD,Unknown Physician Specialty Code,MD,11,1,0,0,1,,,,,
1235367335,F,IL,MW,D.O.,Family Practice,DO,0,0,35,1,0,,,,,
1235367467,F,IN,MW,M.D.,Ophthalmology,MD,0,0,126,1,0,,,,,
1235370461,M,NY,NE,D.O.,Family Practice,DO,2002,1,9104,1,1,,,,,
1235370933,M,RI,NE,M.D.,Internal Medicine,MD,30,1,45,1,1,,,,,
1235373135,M,WA,W,M.D.,Family Practice,MD,174,1,1839,1,1,,,,,
1235374182,F,MA,NE,O.D.,Optometry,MD,0,0,65,1,0,,,,,
1235375494,F,TN,S,FNP,Nurse Practitioner,NP,117,1,636,1,1,,,,,
1235375585,M,MI,MW,MD,General Surgery,MD,14,1,0,0,1,,,,,
1235381153,M,CT,NE,DMD,Dentist,DDS,0,0,24,1,0,,,,,
1235385097,F,WI,MW,NP,Nurse Practitioner,NP,0,0,140,1,0,,,,,
1235386160,F,IL,MW,D.O.,Endocrinology,DO,0,0,896,1,0,,,,,
1235388679,F,DC,S,M.D.,Ophthalmology,MD,0,0,34,1,0,,,,,
1235391889,M,AZ,W,DO,Dermatology,DO,23,1,321,1,1,,,,,
1235392598,M,MI,MW,DO,General Surgery,DO,0,0,15,1,1,,,,,
1235394172,M,FL,S,D.D.S,Dentist,DDS,12,1,12,1,1,,,,,
1235394321,M,WA,W,ARNP,Nurse Practitioner,NP,104,1,842,1,1,,,,,
1235395799,M,CA,W,M.D,Family Practice,MD,13,1,130,1,1,,,,,
1235396086,F,FL,S,D.D.S.,Dentist,DDS,11,1,14,1,1,,,,,
1235396433,F,DE,S,,Emergency Medicine,MD,31,1,0,0,1,,,,,
1235399130,F,FL,S,D.O.,Obstetrics/Gynecology,DO,0,0,187,1,0,,,,,
1235399486,F,FL,S,ARNP,Nurse Practitioner,NP,0,0,11,1,0,,,,,
1235413329,F,LA,S,"APRN, FNP-C",Nurse Practitioner,NP,77,1,1356,1,1,,,,,
1235416090,F,IA,MW,PA-C,Physician Assistant,PA,17,1,0,0,1,,,,,
1235423468,M,MA,NE,"MD, MBA",Internal Medicine,MD,0,0,113,1,0,,,,,
1235423658,F,LA,S,FNP,Nurse Practitioner,NP,31,1,543,1,1,,,,,
1235423765,F,FL,S,D.M.D.,Dentist,DDS,0,0,19,1,0,,,,,
1235425786,F,NC,S,M.D.,Family Practice,MD,36,1,803,1,1,,,,,
1235426149,M,NC,S,D.D.S.,Oral Surgery (dentists only),DDS,13,1,0,0,1,,,,,
1235426800,F,PA,NE,CRNP,Nurse Practitioner,NP,33,1,0,0,1,,,,,
1235428103,F,IL,MW,D.O.,Internal Medicine,DO,0,0,91,1,0,,,,,
1235428731,F,AL,S,"DNP, CRNP, NP-C",Nurse Practitioner,NP,27,1,1843,1,1,,,,,
1235433608,M,CO,W,PA,Physician Assistant,PA,24,1,43,1,1,,,,,
1235435009,F,WA,W,ARNP,Nurse Practitioner,NP,162,1,1850,1,1,,,,,
1235439373,M,PR,O,M.D.,General Practice,MD,54,1,3131,1,1,,,,,
1235443235,F,MA,NE,"MSN,FNP-BC",Nurse Practitioner,NP,0,0,73,1,0,,,,,
1235448283,F,CA,W,PA-C,Physician Assistant,PA,0,0,51,1,0,,,,,
1235459124,F,CA,W,NP-C,Nurse Practitioner,NP,0,0,11,1,0,,,,,
1235460213,M,TX,S,M.D.,Internal Medicine,MD,0,0,13,1,0,,,,,
1235469149,F,NJ,NE,P.A.,Physician Assistant,PA,0,0,177,1,0,,,,,
1235469404,F,NY,NE,FNP,Nurse Practitioner,NP,32,1,2251,1,1,,,,,
1235469974,M,NY,NE,M.D.,General Surgery,MD,26,1,0,0,1,,,,,
1235478538,M,WI,MW,M.D,Internal Medicine,MD,0,0,73,1,1,,,,,
1235479585,M,TN,S,DDS,Dentist,DDS,0,0,104,1,0,,,,,
1235481110,F,ME,NE,"ATC, FNP-C",Nurse Practitioner,NP,0,0,95,1,0,,,,,
1235481771,F,OK,S,APRN,Nurse Practitioner,NP,15,1,31,1,1,,,,,
1235489535,F,TX,S,"FNP-BC, NP-C",Nurse Practitioner,NP,25,1,0,0,1,,,,,
1235545658,F,NC,S,,Nurse Practitioner,NP,35,1,254,1,1,,,,,
1235556606,F,OH,MW,PA-C,Physician Assistant,PA,0,0,755,1,0,,,,,
1235570052,M,MI,MW,M.D.,Family Practice,MD,29,1,215,1,1,,,,,
1245201763,M,FL,S,M.D.,Physical Medicine and Rehabilitation,MD,943,1,377,1,1,,,,,
1245203686,M,NY,NE,MD,Internal Medicine,MD,71,1,4564,1,1,,,,,
1245203876,F,PA,NE,MD,Otolaryngology,MD,0,0,1938,1,0,,,,,
1245205483,F,CA,W,O.D.,Optometry,MD,0,0,48,1,0,,,,,
1245206820,M,VA,S,"M.D.,",Orthopedic Surgery,MD,162,1,36,1,1,,,,,
1245206929,M,PA,NE,PA,Physician Assistant,PA,0,0,66,1,1,,,,,
1245208081,M,PA,NE,MD,Internal Medicine,MD,330,1,8273,1,1,,,,,
1245208982,F,MD,S,M.D.,Cardiology,MD,13,1,2000,1,1,,,,,
1245210012,M,VA,S,FNP,Nurse Practitioner,NP,27,1,78,1,1,,,,,
1245210772,M,NE,MW,M.D.,Thoracic Surgery,MD,12,1,0,0,1,,,,,
1245211051,F,IL,MW,MD,Dermatology,MD,0,0,350,1,0,,,,,
1245211374,F,OR,W,NP,Nurse Practitioner,NP,0,0,30,1,0,,,,,
1245211614,M,CA,W,MD,Internal Medicine,MD,721,1,9257,1,1,,,,,
1245213610,M,OH,MW,OD,Optometry,MD,0,0,114,1,0,,,,,
1245214055,M,HI,W,MD,Infectious Disease,MD,0,0,201,1,0,,,,,
1245214238,M,CA,W,M.D.,Neurosurgery,MD,198,1,158,1,1,,,,,
1245216266,F,NC,S,MD,Gastroenterology,MD,0,0,380,1,0,,,,,
1245217181,F,MN,MW,PA-C,Physician Assistant,PA,0,0,1380,1,0,,,,,
1245218551,M,MD,S,,Nurse Practitioner,NP,34,1,188,1,1,,,,,
1245219815,F,NY,NE,N.P.,Nurse Practitioner,NP,0,0,125,1,0,,,,,
1245223015,M,NY,NE,,Otolaryngology,MD,0,0,133,1,0,,,,,
1245223544,M,CO,W,MD,Internal Medicine,MD,0,0,14,1,0,,,,,
1245223734,F,IL,MW,MD,Internal Medicine,MD,344,1,7511,1,1,,,,,
1245224229,M,AR,S,M.D.,Family Practice,MD,236,1,7936,1,1,,,,,
1245224344,M,GA,S,M.D.,Gastroenterology,MD,0,0,1033,1,0,,,,,
1245227149,M,NY,NE,M.D.,Psychiatry,MD,0,0,465,1,0,,,,,
1245227784,M,TN,S,D.P.M,Podiatry,MD,58,1,216,1,1,,,,,
1245230051,F,WA,W,,Family Practice,MD,385,1,1932,1,1,,,,,
1245230705,M,OK,S,MD,Urology,MD,29,1,1599,1,1,,,,,
1245230994,M,FL,S,M.D.,Otolaryngology,MD,50,1,486,1,1,,,,,
1245232032,M,NJ,NE,DO,Pulmonary Disease,DO,11,1,838,1,1,,,,,
1245232461,M,TX,S,M.D.,Orthopedic Surgery,MD,134,1,12,1,1,,,,,
1245233485,M,NV,W,D.O.,Emergency Medicine,DO,34,1,68,1,1,,,,,
1245233766,M,OH,MW,D.O.,Family Practice,DO,143,1,2976,1,1,,,,,
1245234715,M,VA,S,MD,Ophthalmology,MD,0,0,86,1,0,,,,,
1245234962,M,CA,W,M.D.,Thoracic Surgery,MD,93,1,31,1,1,,,,,
1245235084,F,MO,MW,MD,Obstetrics/Gynecology,MD,0,0,12,1,0,,,,,
1245235951,M,NC,S,M.D.,Emergency Medicine,MD,100,1,127,1,1,,,,,
1245238567,M,TN,S,M.D.,Internal Medicine,MD,0,0,252,1,0,,,,,
1245238682,M,CA,W,M.D.,Ophthalmology,MD,0,0,431,1,0,,,,,
1245239888,M,CO,W,D.D.S.,Dentist,DDS,0,0,93,1,1,,,,,
1245240969,F,NC,S,M.D.,Psychiatry,MD,336,1,3414,1,1,,,,,
1245243567,M,CA,W,M.D.,Pediatric Medicine,MD,0,0,12,1,0,,,,,
1245246354,M,MI,MW,M.D.,Gastroenterology,MD,0,0,457,1,0,,,,,
1245249739,F,TX,S,DPM,Podiatry,MD,0,0,15,1,0,,,,,
1245250455,M,CA,W,PA,Physician Assistant,PA,318,1,5491,1,1,,,,,
1245250968,M,MO,MW,M.D.,Psychiatry,MD,0,0,799,1,0,,,,,
1245251990,F,IN,MW,M.D.,Dermatology,MD,0,0,157,1,0,,,,,
1245254127,M,AZ,W,MD,Internal Medicine,MD,67,1,240,1,1,,,,,
1245256023,M,KS,MW,M.D.,Psychiatry,MD,0,0,4450,1,0,,,,,
1245256437,F,NJ,NE,MD,Internal Medicine,MD,0,0,93,1,0,,,,,
1245256510,F,NC,S,MD,Emergency Medicine,MD,61,1,17,1,1,,,,,
1245258987,F,AL,S,MD,General Surgery,MD,125,1,228,1,1,,,,,
1245259621,F,GA,S,MD,Internal Medicine,MD,0,0,36,1,0,,,,,
1245260157,M,CT,NE,,Neurology,MD,236,1,3926,1,1,,,,,
1245261650,M,VA,S,MD,Cardiology,MD,0,0,2003,1,0,,,,,
1245263771,M,NJ,NE,D.O.,Family Practice,DO,145,1,9750,1,1,,,,,
1245264654,M,ME,NE,MD,Psychiatry,MD,0,0,2120,1,0,,,,,
1245264993,M,FL,S,"M.D., PHD",Radiation Oncology,MD,0,0,11,1,0,,,,,
1245267384,M,NY,NE,M.D.,Psychiatry,MD,0,0,32,1,0,,,,,
1245267913,M,NY,NE,M.D.,Orthopedic Surgery,MD,122,1,242,1,1,,,,,
1245268937,M,MS,S,M.D.,General Practice,MD,54,1,2801,1,1,,,,,
1245270453,M,FL,S,MD,Internal Medicine,MD,437,1,7067,1,1,,,,,
1245270529,F,TN,S,NP,Nurse Practitioner,NP,68,1,88,1,1,,,,,
1245270925,M,NJ,NE,DO,Family Practice,DO,44,1,524,1,1,,,,,
1245271402,M,VA,S,M.D.,Neurology,MD,0,0,1096,1,0,,,,,
1245271691,M,IN,MW,M.D.,Family Practice,MD,252,1,5136,1,1,,,,,
1245271790,M,OK,S,M.D.,Internal Medicine,MD,563,1,8796,1,1,,,,,
1245274281,M,MS,S,M.D.,Internal Medicine,MD,26,1,1117,1,1,,,,,
1245276187,M,CA,W,M.D.,Orthopedic Surgery,MD,113,1,15,1,1,,,,,
1245276823,M,CA,W,M.D.,Internal Medicine,MD,68,1,194,1,1,,,,,
1245277300,M,TX,S,M.D.,Internal Medicine,MD,1833,1,37429,1,1,,,,,
1245277383,M,WI,MW,DDS,Dentist,DDS,0,0,14,1,0,,,,,
1245277961,F,MA,NE,M.D.,Psychiatry,MD,0,0,8204,1,0,,,,,
1245278100,F,AL,S,MD,General Surgery,MD,429,1,989,1,1,,,,,
1245279132,F,CA,W,F.N.P.,Nurse Practitioner,NP,0,0,2681,1,0,,,,,
1245279876,M,OH,MW,MD,Endocrinology,MD,11,1,4113,1,1,,,,,
1245280155,M,IL,MW,M.D.,Family Practice,MD,365,1,10245,1,1,,,,,
1245281005,M,VA,S,M.D.,Family Practice,MD,157,1,5027,1,1,,,,,
1245282862,M,CO,W,M.D.,Anesthesiology,MD,418,1,171,1,1,,,,,
1245283308,M,NC,S,M.D.,Emergency Medicine,MD,69,1,104,1,1,,,,,
1245283316,M,DE,S,MD,Pulmonary Disease,MD,0,0,1080,1,0,,,,,
1245284314,F,ND,MW,MD,Family Practice,MD,132,1,3785,1,1,,,,,
1245286525,M,NY,NE,PA,Physician Assistant,PA,105,1,130,1,1,,,,,
1245288190,M,NJ,NE,M.D.,Gastroenterology,MD,0,0,214,1,0,,,,,
1245288380,F,MN,MW,MD,Internal Medicine,MD,59,1,1106,1,1,,,,,
1245288505,M,FL,S,MD,Cardiology,MD,55,1,4883,1,1,,,,,
1245288554,F,FL,S,ARNP,Nurse Practitioner,NP,0,0,1266,1,0,,,,,
1245289446,M,IL,MW,MD,Diagnostic Radiology,MD,15,1,0,0,1,,,,,
1245289529,M,SC,S,MD,Emergency Medicine,MD,257,1,11379,1,1,,,,,
1245290402,M,SC,S,MD,Internal Medicine,MD,310,1,5881,1,1,,,,,
1245290865,M,CA,W,M.D.,Family Practice,MD,356,1,3663,1,1,,,,,
1245291459,F,NY,NE,MD,Pain Management,MD,162,1,411,1,1,,,,,
1245292002,M,TX,S,MD,Orthopedic Surgery,MD,15,1,0,0,1,,,,,
1245292036,M,TX,S,M.D.,Internal Medicine,MD,42,1,1016,1,1,,,,,
1245292234,F,NY,NE,M.D.,Psychiatry,MD,0,0,1270,1,0,,,,,
1245293166,F,MN,MW,MD,Cardiology,MD,0,0,1845,1,0,,,,,
1245294081,F,MO,MW,MD,Obstetrics/Gynecology,MD,0,0,69,1,0,,,,,
1245295351,M,FL,S,MD,Hematology/Oncology,MD,56,1,133,1,1,,,,,
1245295369,M,IN,MW,M.D.,Hematology/Oncology,MD,355,1,260,1,1,,,,,
1245296904,M,MI,MW,MD,Radiation Oncology,MD,0,0,18,1,1,,,,,
1245298249,F,NC,S,MD,Neurology,MD,70,1,2559,1,1,,,,,
1245298330,M,IN,MW,O.D.,Optometry,MD,0,0,50,1,0,,,,,
1245298959,M,UT,W,M.D.,Otolaryngology,MD,13,1,553,1,1,,,,,
1245299007,F,WV,S,MD,Cardiology,MD,0,0,1066,1,0,,,,,
1245299148,M,HI,W,M.D.,Internal Medicine,MD,191,1,6041,1,1,,,,,
1245300854,M,MO,MW,DMD,Dentist,DDS,0,0,51,1,0,,,,,
1245302397,M,AZ,W,D.D.S.,Dentist,DDS,25,1,34,1,1,,,,,
1245305051,F,OH,MW,C.N.P.,Nurse Practitioner,NP,0,0,47,1,1,,,,,
1245309020,F,HI,W,M.D.,Internal Medicine,MD,141,1,6481,1,1,,,,,
1245311216,M,CA,W,D.O.,Family Practice,DO,55,1,1228,1,1,,,,,
1245311778,F,IL,MW,,Internal Medicine,MD,434,1,5535,1,1,,,,,
1245313899,M,NY,NE,MD,Internal Medicine,MD,295,1,8804,1,1,,,,,
1245318138,F,CA,W,MD,Family Practice,MD,15,1,324,1,1,,,,,
1245318344,F,CA,W,MD,Cardiology,MD,0,0,209,1,0,,,,,
1245318765,M,WI,MW,M.D.,General Surgery,MD,58,1,0,0,1,,,,,
1245318872,M,CA,W,MD,Cardiology,MD,0,0,466,1,0,,,,,
1245320399,M,MI,MW,MD,Neurology,MD,21,1,288,1,1,,,,,
1245322452,M,MA,NE,D.O.,Family Practice,DO,77,1,2354,1,1,,,,,
1245323096,F,CA,W,MD,Psychiatry,MD,0,0,3550,1,0,,,,,
1245323757,M,CA,W,MD,Internal Medicine,MD,0,0,25,1,0,,,,,
1245323898,M,IL,MW,MD,Emergency Medicine,MD,19,1,49,1,1,,,,,
1245324433,M,OK,S,M.D.,Cardiology,MD,0,0,507,1,0,,,,,
1245327311,F,NY,NE,MD,Internal Medicine,MD,70,1,3021,1,1,,,,,
1245327899,F,ND,MW,MD,Internal Medicine,MD,698,1,10242,1,1,,,,,
1245330703,M,CA,W,D.D.S.,Dentist,DDS,0,0,12,1,0,,,,,
1245332824,M,TX,S,DDS,Dentist,DDS,13,1,14,1,1,,,,,
1245338151,M,NY,NE,M.D.,Psychiatry & Neurology,MD,0,0,74,1,0,,,,,
1245338904,M,NC,S,MD,Internal Medicine,MD,0,0,203,1,1,,,,,
1245341619,M,MD,S,M.D.,Endocrinology,MD,0,0,758,1,0,,,,,
1245341916,M,MS,S,MD,Emergency Medicine,MD,0,0,43,1,0,,,,,
1245342732,M,CA,W,P.A.-C.,Physician Assistant,PA,16,1,0,0,1,,,,,
1245343896,F,GA,S,APRN,Nurse Practitioner,NP,102,1,7344,1,1,,,,,
1245344506,M,WV,S,D.O.,Family Practice,DO,518,1,2903,1,1,,,,,
1245344852,M,MD,S,DPM,Podiatry,MD,16,1,124,1,1,,,,,
1245344886,F,NJ,NE,,Internal Medicine,MD,59,1,4627,1,1,,,,,
1245344894,F,NY,NE,M.D.,Emergency Medicine,MD,33,1,13,1,1,,,,,
1245346147,M,NY,NE,D.D.S.,Dentist,DDS,0,0,15,1,1,,,,,
1245348325,F,NY,NE,M.D.,Anesthesiology,MD,42,1,263,1,1,,,,,
1245349117,M,TX,S,DDS,Dentist,DDS,0,0,27,1,0,,,,,
1245350719,F,PA,NE,"CRNP,MSN,BC",Nurse Practitioner,NP,0,0,218,1,0,,,,,
1245353952,F,CA,W,M.D.,Internal Medicine,MD,0,0,571,1,0,,,,,
1245354299,F,GA,S,M.D.,Plastic and Reconstructive Surgery,MD,29,1,102,1,1,,,,,
1245355809,F,OH,MW,D.D.S.,Dentist,DDS,0,0,14,1,0,,,,,
1245369016,F,MI,MW,DO,Pulmonary Disease,DO,0,0,696,1,0,,,,,
1245371392,M,NV,W,D.P.M.,Podiatry,MD,205,1,205,1,1,,,,,
1245372358,M,VA,S,,Dentist,DDS,14,1,95,1,1,,,,,
1245372853,M,WA,W,P.A.,Physician Assistant,PA,180,1,126,1,1,,,,,
1245375815,M,KY,S,M.D.,Family Practice,MD,0,0,2990,1,0,,,,,
1245377076,M,MO,MW,DO,Family Practice,DO,866,1,10708,1,1,,,,,
1245382175,F,CA,W,PA,Physician Assistant,PA,268,1,2095,1,1,,,,,
